Date_SK,Date,Day,Month,Month_Name,Quarter,Year,Week,Day_Name,Is_Weekend
91,2015-04-01 0:00:00,1,4,April,2,2015,14,Wednesday,0
92,2015-04-02 0:00:00,2,4,April,2,2015,14,Thursday,0
93,2015-04-03 0:00:00,3,4,April,2,2015,14,Friday,0
94,2015-04-04 0:00:00,4,4,April,2,2015,14,Saturday,1
95,2015-04-05 0:00:00,5,4,April,2,2015,14,Sunday,1
96,2015-04-06 0:00:00,6,4,April,2,2015,15,Monday,0
97,2015-04-07 0:00:00,7,4,April,2,2015,15,Tuesday,0
98,2015-04-08 0:00:00,8,4,April,2,2015,15,Wednesday,0
99,2015-04-09 0:00:00,9,4,April,2,2015,15,Thursday,0
100,2015-04-10 0:00:00,10,4,April,2,2015,15,Friday,0
101,2015-04-11 0:00:00,11,4,April,2,2015,15,Saturday,1
102,2015-04-12 0:00:00,12,4,April,2,2015,15,Sunday,1
103,2015-04-13 0:00:00,13,4,April,2,2015,16,Monday,0
104,2015-04-14 0:00:00,14,4,April,2,2015,16,Tuesday,0
105,2015-04-15 0:00:00,15,4,April,2,2015,16,Wednesday,0
106,2015-04-16 0:00:00,16,4,April,2,2015,16,Thursday,0
107,2015-04-17 0:00:00,17,4,April,2,2015,16,Friday,0
108,2015-04-18 0:00:00,18,4,April,2,2015,16,Saturday,1
109,2015-04-19 0:00:00,19,4,April,2,2015,16,Sunday,1
110,2015-04-20 0:00:00,20,4,April,2,2015,17,Monday,0
111,2015-04-21 0:00:00,21,4,April,2,2015,17,Tuesday,0
112,2015-04-22 0:00:00,22,4,April,2,2015,17,Wednesday,0
113,2015-04-23 0:00:00,23,4,April,2,2015,17,Thursday,0
114,2015-04-24 0:00:00,24,4,April,2,2015,17,Friday,0
115,2015-04-25 0:00:00,25,4,April,2,2015,17,Saturday,1
116,2015-04-26 0:00:00,26,4,April,2,2015,17,Sunday,1
117,2015-04-27 0:00:00,27,4,April,2,2015,18,Monday,0
118,2015-04-28 0:00:00,28,4,April,2,2015,18,Tuesday,0
119,2015-04-29 0:00:00,29,4,April,2,2015,18,Wednesday,0
120,2015-04-30 0:00:00,30,4,April,2,2015,18,Thursday,0
121,2015-05-01 0:00:00,1,5,May,2,2015,18,Friday,0
122,2015-05-02 0:00:00,2,5,May,2,2015,18,Saturday,1
123,2015-05-03 0:00:00,3,5,May,2,2015,18,Sunday,1
124,2015-05-04 0:00:00,4,5,May,2,2015,19,Monday,0
125,2015-05-05 0:00:00,5,5,May,2,2015,19,Tuesday,0
126,2015-05-06 0:00:00,6,5,May,2,2015,19,Wednesday,0
127,2015-05-07 0:00:00,7,5,May,2,2015,19,Thursday,0
128,2015-05-08 0:00:00,8,5,May,2,2015,19,Friday,0
129,2015-05-09 0:00:00,9,5,May,2,2015,19,Saturday,1
130,2015-05-10 0:00:00,10,5,May,2,2015,19,Sunday,1
131,2015-05-11 0:00:00,11,5,May,2,2015,20,Monday,0
132,2015-05-12 0:00:00,12,5,May,2,2015,20,Tuesday,0
133,2015-05-13 0:00:00,13,5,May,2,2015,20,Wednesday,0
134,2015-05-14 0:00:00,14,5,May,2,2015,20,Thursday,0
135,2015-05-15 0:00:00,15,5,May,2,2015,20,Friday,0
136,2015-05-16 0:00:00,16,5,May,2,2015,20,Saturday,1
137,2015-05-17 0:00:00,17,5,May,2,2015,20,Sunday,1
138,2015-05-18 0:00:00,18,5,May,2,2015,21,Monday,0
139,2015-05-19 0:00:00,19,5,May,2,2015,21,Tuesday,0
140,2015-05-20 0:00:00,20,5,May,2,2015,21,Wednesday,0
141,2015-05-21 0:00:00,21,5,May,2,2015,21,Thursday,0
142,2015-05-22 0:00:00,22,5,May,2,2015,21,Friday,0
143,2015-05-23 0:00:00,23,5,May,2,2015,21,Saturday,1
144,2015-05-24 0:00:00,24,5,May,2,2015,21,Sunday,1
145,2015-05-25 0:00:00,25,5,May,2,2015,22,Monday,0
146,2015-05-26 0:00:00,26,5,May,2,2015,22,Tuesday,0
147,2015-05-27 0:00:00,27,5,May,2,2015,22,Wednesday,0
148,2015-05-28 0:00:00,28,5,May,2,2015,22,Thursday,0
149,2015-05-29 0:00:00,29,5,May,2,2015,22,Friday,0
150,2015-05-30 0:00:00,30,5,May,2,2015,22,Saturday,1
151,2015-05-31 0:00:00,31,5,May,2,2015,22,Sunday,1
152,2015-06-01 0:00:00,1,6,June,2,2015,23,Monday,0
153,2015-06-02 0:00:00,2,6,June,2,2015,23,Tuesday,0
154,2015-06-03 0:00:00,3,6,June,2,2015,23,Wednesday,0
155,2015-06-04 0:00:00,4,6,June,2,2015,23,Thursday,0
156,2015-06-05 0:00:00,5,6,June,2,2015,23,Friday,0
157,2015-06-06 0:00:00,6,6,June,2,2015,23,Saturday,1
158,2015-06-07 0:00:00,7,6,June,2,2015,23,Sunday,1
159,2015-06-08 0:00:00,8,6,June,2,2015,24,Monday,0
160,2015-06-09 0:00:00,9,6,June,2,2015,24,Tuesday,0
161,2015-06-10 0:00:00,10,6,June,2,2015,24,Wednesday,0
162,2015-06-11 0:00:00,11,6,June,2,2015,24,Thursday,0
163,2015-06-12 0:00:00,12,6,June,2,2015,24,Friday,0
164,2015-06-13 0:00:00,13,6,June,2,2015,24,Saturday,1
165,2015-06-14 0:00:00,14,6,June,2,2015,24,Sunday,1
166,2015-06-15 0:00:00,15,6,June,2,2015,25,Monday,0
167,2015-06-16 0:00:00,16,6,June,2,2015,25,Tuesday,0
168,2015-06-17 0:00:00,17,6,June,2,2015,25,Wednesday,0
169,2015-06-18 0:00:00,18,6,June,2,2015,25,Thursday,0
170,2015-06-19 0:00:00,19,6,June,2,2015,25,Friday,0
171,2015-06-20 0:00:00,20,6,June,2,2015,25,Saturday,1
172,2015-06-21 0:00:00,21,6,June,2,2015,25,Sunday,1
173,2015-06-22 0:00:00,22,6,June,2,2015,26,Monday,0
174,2015-06-23 0:00:00,23,6,June,2,2015,26,Tuesday,0
175,2015-06-24 0:00:00,24,6,June,2,2015,26,Wednesday,0
176,2015-06-25 0:00:00,25,6,June,2,2015,26,Thursday,0
177,2015-06-26 0:00:00,26,6,June,2,2015,26,Friday,0
178,2015-06-27 0:00:00,27,6,June,2,2015,26,Saturday,1
179,2015-06-28 0:00:00,28,6,June,2,2015,26,Sunday,1
180,2015-06-29 0:00:00,29,6,June,2,2015,27,Monday,0
181,2015-06-30 0:00:00,30,6,June,2,2015,27,Tuesday,0
182,2015-07-01 0:00:00,1,7,July,3,2015,27,Wednesday,0
183,2015-07-02 0:00:00,2,7,July,3,2015,27,Thursday,0
184,2015-07-03 0:00:00,3,7,July,3,2015,27,Friday,0
185,2015-07-04 0:00:00,4,7,July,3,2015,27,Saturday,1
186,2015-07-05 0:00:00,5,7,July,3,2015,27,Sunday,1
187,2015-07-06 0:00:00,6,7,July,3,2015,28,Monday,0
188,2015-07-07 0:00:00,7,7,July,3,2015,28,Tuesday,0
189,2015-07-08 0:00:00,8,7,July,3,2015,28,Wednesday,0
190,2015-07-09 0:00:00,9,7,July,3,2015,28,Thursday,0
191,2015-07-10 0:00:00,10,7,July,3,2015,28,Friday,0
192,2015-07-11 0:00:00,11,7,July,3,2015,28,Saturday,1
193,2015-07-12 0:00:00,12,7,July,3,2015,28,Sunday,1
194,2015-07-13 0:00:00,13,7,July,3,2015,29,Monday,0
195,2015-07-14 0:00:00,14,7,July,3,2015,29,Tuesday,0
196,2015-07-15 0:00:00,15,7,July,3,2015,29,Wednesday,0
197,2015-07-16 0:00:00,16,7,July,3,2015,29,Thursday,0
198,2015-07-17 0:00:00,17,7,July,3,2015,29,Friday,0
199,2015-07-18 0:00:00,18,7,July,3,2015,29,Saturday,1
200,2015-07-19 0:00:00,19,7,July,3,2015,29,Sunday,1
201,2015-07-20 0:00:00,20,7,July,3,2015,30,Monday,0
202,2015-07-21 0:00:00,21,7,July,3,2015,30,Tuesday,0
203,2015-07-22 0:00:00,22,7,July,3,2015,30,Wednesday,0
204,2015-07-23 0:00:00,23,7,July,3,2015,30,Thursday,0
205,2015-07-24 0:00:00,24,7,July,3,2015,30,Friday,0
206,2015-07-25 0:00:00,25,7,July,3,2015,30,Saturday,1
207,2015-07-26 0:00:00,26,7,July,3,2015,30,Sunday,1
208,2015-07-27 0:00:00,27,7,July,3,2015,31,Monday,0
209,2015-07-28 0:00:00,28,7,July,3,2015,31,Tuesday,0
210,2015-07-29 0:00:00,29,7,July,3,2015,31,Wednesday,0
211,2015-07-30 0:00:00,30,7,July,3,2015,31,Thursday,0
212,2015-07-31 0:00:00,31,7,July,3,2015,31,Friday,0
213,2015-08-01 0:00:00,1,8,August,3,2015,31,Saturday,1
214,2015-08-02 0:00:00,2,8,August,3,2015,31,Sunday,1
215,2015-08-03 0:00:00,3,8,August,3,2015,32,Monday,0
216,2015-08-04 0:00:00,4,8,August,3,2015,32,Tuesday,0
217,2015-08-05 0:00:00,5,8,August,3,2015,32,Wednesday,0
218,2015-08-06 0:00:00,6,8,August,3,2015,32,Thursday,0
